질문,답변
"둔데기 생생월령가에서 ""둔덕이씨""와 ""둔덱 이씨"" 가족은 이웅재고가를 어떻게 관리하고 보존하고 있으며, 지역 문화와 농경문화를 어떻게 공존하고 있나요?","지역 문화재 <이웅재고가>를 활용. 봄,여름,가을 세시놀이를 통해 임실군 오수면 둔데기마을에 대하여 소개하고, 농경문화와 함께 공존하고 있는 종가, 둔데기 Local school 삼계강사,아회(雅會)이자 이상향의 공간으로서 삼계석문까지 완전한 공동체로서 그 가치를 찾아가는 월령별 시간여행입니다.
임실군 오수면 둔덕리에 위치한 「이웅재고가」는 최명희의 장편소설 「혼불」의 중요모티브가 되었던 곳으로 '전주이씨 효령대군파 춘성정 종가'로서 효령대군의 증손'춘성정 이담손(李聃蓀,1490~?)이 낙향하여, 1552년경에 세운 것으로 약 460여년된 종가이며, 1977년 도지정 민속자료 12호로 지정되었습니다. 춘성정 후손들은 특별히 '둔덕이씨','둔덱 이씨'로 알려져 있으며「이웅재고가」는 조선 중기 종가의 규범을 지키면서도 화려하지 않고 , 위엄을 갖추었으면서도 드러내지않는 품위를 갖추고 있습니다."
"산타축제는 어느 장소에서 개최되고, 언제 열리나요?","산타축제는 내 유일의 체험형 관광지인 임실치즈테마파크에서 겨울철 임실의 정취를 느끼실 수 있는 이국적인 경관속에서 아름다운 추억을 만들 수 있는 축제이다.
산타퍼레이드대회, 소원트리꾸미기, 치즈공예체험, 산타썰매타기, 다양한 먹거리 등 다채로운 행사를 체험할 수 있다."
"어떤 활동과 행사가 산타축제에서 제공되며, 이 축제를 통해 어떤 경험과 추억을 만들 수 있나요?","산타축제는 내 유일의 체험형 관광지인 임실치즈테마파크에서 겨울철 임실의 정취를 느끼실 수 있는 이국적인 경관속에서 아름다운 추억을 만들 수 있는 축제이다.
산타퍼레이드대회, 소원트리꾸미기, 치즈공예체험, 산타썰매타기, 다양한 먹거리 등 다채로운 행사를 체험할 수 있다."
산타퍼레이드대회는 어떤 이벤트인지 설명해주실 수 있나요?,"산타축제는 내 유일의 체험형 관광지인 임실치즈테마파크에서 겨울철 임실의 정취를 느끼실 수 있는 이국적인 경관속에서 아름다운 추억을 만들 수 있는 축제이다.
산타퍼레이드대회, 소원트리꾸미기, 치즈공예체험, 산타썰매타기, 다양한 먹거리 등 다채로운 행사를 체험할 수 있다."
산타축제는 어떤 특별한 경관과 이국적인 분위기를 갖고 있나요?,"산타축제는 내 유일의 체험형 관광지인 임실치즈테마파크에서 겨울철 임실의 정취를 느끼실 수 있는 이국적인 경관속에서 아름다운 추억을 만들 수 있는 축제이다.
산타퍼레이드대회, 소원트리꾸미기, 치즈공예체험, 산타썰매타기, 다양한 먹거리 등 다채로운 행사를 체험할 수 있다."
임실치즈테마파크에서의 산타축제가 장소와 시기적으로 어떤 특별한 매력을 제공하고 있나요?,"산타축제는 내 유일의 체험형 관광지인 임실치즈테마파크에서 겨울철 임실의 정취를 느끼실 수 있는 이국적인 경관속에서 아름다운 추억을 만들 수 있는 축제이다.
산타퍼레이드대회, 소원트리꾸미기, 치즈공예체험, 산타썰매타기, 다양한 먹거리 등 다채로운 행사를 체험할 수 있다."
청소년 어울림마당 축제는 어느 날짜와 장소에서 개최되나요?,"5월 청소년의 달과 세계인의 날을 맞이하여 임실군청소년문화의집 앞마당에서 청소년 어울림마당 축제를 개최한다.
세계 음식 등을 체험할 수 있는 음식 체험, 부채 만들기 등을 체험할 수 있는 문화 체험, 세계 민속 놀이 등을 체험 할 수 있는 놀이 공간이 구성되고 시간별로 다채로운 행사가 진행된다."
"청소년 어울림마당 축제에서 어떤 종류의 체험 활동이 제공되며, 어떤 종류의 문화 체험과 놀이가 포함되어 있나요?","5월 청소년의 달과 세계인의 날을 맞이하여 임실군청소년문화의집 앞마당에서 청소년 어울림마당 축제를 개최한다.
세계 음식 등을 체험할 수 있는 음식 체험, 부채 만들기 등을 체험할 수 있는 문화 체험, 세계 민속 놀이 등을 체험 할 수 있는 놀이 공간이 구성되고 시간별로 다채로운 행사가 진행된다."
청소년 어울림마당 축제에서 세계 음식 체험을 통해 어떤 나라의 음식을 맛볼 수 있나요?,"5월 청소년의 달과 세계인의 날을 맞이하여 임실군청소년문화의집 앞마당에서 청소년 어울림마당 축제를 개최한다.
세계 음식 등을 체험할 수 있는 음식 체험, 부채 만들기 등을 체험할 수 있는 문화 체험, 세계 민속 놀이 등을 체험 할 수 있는 놀이 공간이 구성되고 시간별로 다채로운 행사가 진행된다."
"청소년 어울림마당 축제는 어떤 목적으로 개최되고, 어떤 청소년들을 대상으로 하는 행사인가요?","5월 청소년의 달과 세계인의 날을 맞이하여 임실군청소년문화의집 앞마당에서 청소년 어울림마당 축제를 개최한다.
세계 음식 등을 체험할 수 있는 음식 체험, 부채 만들기 등을 체험할 수 있는 문화 체험, 세계 민속 놀이 등을 체험 할 수 있는 놀이 공간이 구성되고 시간별로 다채로운 행사가 진행된다."
청소년 어울림마당 축제에서 청소년들은 어떤 색다른 경험과 활동을 할 수 있을까요?,"5월 청소년의 달과 세계인의 날을 맞이하여 임실군청소년문화의집 앞마당에서 청소년 어울림마당 축제를 개최한다.
세계 음식 등을 체험할 수 있는 음식 체험, 부채 만들기 등을 체험할 수 있는 문화 체험, 세계 민속 놀이 등을 체험 할 수 있는 놀이 공간이 구성되고 시간별로 다채로운 행사가 진행된다."
순창군 축제는 뭐가 있을까요?,"순창장류축제, 순창도라지축제, 삼인문화제, 추령장승축제, 블루베리 어울마당, 국사봉 철쭉제, 순창 옥천골 벚꽃축제, 구곡순담 백세인 축제, 섬진강 영화제, 단오 물맞이 음악회가 있습니다."
순창장류축제는 언제 개최되고 어느 지역에서 진행되나요?,"천혜의 자연환경과 장류문화의 역사가 살아 숨 쉬는 순창에서는 대한민국 대표 먹거리 고추장의 본 고장임을 자부하며 장류를 테마로 매년 11월 순창장류축제를 개최하고 있다. 순창장류축제는 문화관광부에서 선정한 3년 연속 유망축제이며 대한민국을 대표하는 축제로 끊임없는 발전을 거듭하고 있다. 축제는 순창군민체육대회와 함께 장류 체험관을 상설운영하고 다양한 전통 장을 직접 보고 맛보고 체험할 수 있으며, 남녀노소 누구나 즐길 수 있는 화합의 축제, 세대공감형 축제로 자리매김하고 있다."
순창장류축제에서 어떤 종류의 장류와 관련된 활동과 체험이 제공되나요?,"천혜의 자연환경과 장류문화의 역사가 살아 숨 쉬는 순창에서는 대한민국 대표 먹거리 고추장의 본 고장임을 자부하며 장류를 테마로 매년 11월 순창장류축제를 개최하고 있다. 순창장류축제는 문화관광부에서 선정한 3년 연속 유망축제이며 대한민국을 대표하는 축제로 끊임없는 발전을 거듭하고 있다. 축제는 순창군민체육대회와 함께 장류 체험관을 상설운영하고 다양한 전통 장을 직접 보고 맛보고 체험할 수 있으며, 남녀노소 누구나 즐길 수 있는 화합의 축제, 세대공감형 축제로 자리매김하고 있다."
순창장류축제에서 장류 체험관은 어떤 내용을 다루고 어떤 경험을 제공하나요?,"천혜의 자연환경과 장류문화의 역사가 살아 숨 쉬는 순창에서는 대한민국 대표 먹거리 고추장의 본 고장임을 자부하며 장류를 테마로 매년 11월 순창장류축제를 개최하고 있다. 순창장류축제는 문화관광부에서 선정한 3년 연속 유망축제이며 대한민국을 대표하는 축제로 끊임없는 발전을 거듭하고 있다. 축제는 순창군민체육대회와 함께 장류 체험관을 상설운영하고 다양한 전통 장을 직접 보고 맛보고 체험할 수 있으며, 남녀노소 누구나 즐길 수 있는 화합의 축제, 세대공감형 축제로 자리매김하고 있다."
"순창장류축제는 어떤 목적으로 개최되고, 어떤 특징을 가지고 있나요?","천혜의 자연환경과 장류문화의 역사가 살아 숨 쉬는 순창에서는 대한민국 대표 먹거리 고추장의 본 고장임을 자부하며 장류를 테마로 매년 11월 순창장류축제를 개최하고 있다. 순창장류축제는 문화관광부에서 선정한 3년 연속 유망축제이며 대한민국을 대표하는 축제로 끊임없는 발전을 거듭하고 있다. 축제는 순창군민체육대회와 함께 장류 체험관을 상설운영하고 다양한 전통 장을 직접 보고 맛보고 체험할 수 있으며, 남녀노소 누구나 즐길 수 있는 화합의 축제, 세대공감형 축제로 자리매김하고 있다."
순창장류축제에 참가하면 어떤 전통적인 장류를 직접 보고 맛볼 수 있을까요?,"천혜의 자연환경과 장류문화의 역사가 살아 숨 쉬는 순창에서는 대한민국 대표 먹거리 고추장의 본 고장임을 자부하며 장류를 테마로 매년 11월 순창장류축제를 개최하고 있다. 순창장류축제는 문화관광부에서 선정한 3년 연속 유망축제이며 대한민국을 대표하는 축제로 끊임없는 발전을 거듭하고 있다. 축제는 순창군민체육대회와 함께 장류 체험관을 상설운영하고 다양한 전통 장을 직접 보고 맛보고 체험할 수 있으며, 남녀노소 누구나 즐길 수 있는 화합의 축제, 세대공감형 축제로 자리매김하고 있다."
순창 도라지축제는 어디에서 언제 열리나요?,"최근 많은 사람들의 관심을 받고 있는 순창 강천산에서는 매년 순창 도라지축제가 열리고 있다. 행사는 명품 도라지로 유명한 순창군 팔덕면 장안마을에서 열린다. 작은 규모의 지역 축제지만 아름답게 피어난 도라지 꽃밭과 다양한 농촌체험 프로그램을 통해 누구나 즐길 수 있는 축제로 거듭나고 있다. 주요 행사는 누드 도라지 만들기, 맨손 물고기 잡기 등이 있으며 도라지 사생대회, 도라지 끼 페스티벌 등 다양한 프로그램으로 관광객들을 만족시키고 있다."
순창도라지축제에서 어떤 도라지와 농촌체험 프로그램이 제공되나요?,"최근 많은 사람들의 관심을 받고 있는 순창 강천산에서는 매년 순창 도라지축제가 열리고 있다. 행사는 명품 도라지로 유명한 순창군 팔덕면 장안마을에서 열린다. 작은 규모의 지역 축제지만 아름답게 피어난 도라지 꽃밭과 다양한 농촌체험 프로그램을 통해 누구나 즐길 수 있는 축제로 거듭나고 있다. 주요 행사는 누드 도라지 만들기, 맨손 물고기 잡기 등이 있으며 도라지 사생대회, 도라지 끼 페스티벌 등 다양한 프로그램으로 관광객들을 만족시키고 있다."
순창도라지축제에서 누드 도라지 만들기와 맨손 물고기 잡기와 같은 주요 행사는 어떤 경험을 제공하나요?,"최근 많은 사람들의 관심을 받고 있는 순창 강천산에서는 매년 순창 도라지축제가 열리고 있다. 행사는 명품 도라지로 유명한 순창군 팔덕면 장안마을에서 열린다. 작은 규모의 지역 축제지만 아름답게 피어난 도라지 꽃밭과 다양한 농촌체험 프로그램을 통해 누구나 즐길 수 있는 축제로 거듭나고 있다. 주요 행사는 누드 도라지 만들기, 맨손 물고기 잡기 등이 있으며 도라지 사생대회, 도라지 끼 페스티벌 등 다양한 프로그램으로 관광객들을 만족시키고 있다."
순창 도라지축제의 목적과 특징은 무엇인가요?,"최근 많은 사람들의 관심을 받고 있는 순창 강천산에서는 매년 순창 도라지축제가 열리고 있다. 행사는 명품 도라지로 유명한 순창군 팔덕면 장안마을에서 열린다. 작은 규모의 지역 축제지만 아름답게 피어난 도라지 꽃밭과 다양한 농촌체험 프로그램을 통해 누구나 즐길 수 있는 축제로 거듭나고 있다. 주요 행사는 누드 도라지 만들기, 맨손 물고기 잡기 등이 있으며 도라지 사생대회, 도라지 끼 페스티벌 등 다양한 프로그램으로 관광객들을 만족시키고 있다."
순창도라지축제에서는 어떤 종류의 도라지와 관련된 활동을 할 수 있을까요?,"최근 많은 사람들의 관심을 받고 있는 순창 강천산에서는 매년 순창 도라지축제가 열리고 있다. 행사는 명품 도라지로 유명한 순창군 팔덕면 장안마을에서 열린다. 작은 규모의 지역 축제지만 아름답게 피어난 도라지 꽃밭과 다양한 농촌체험 프로그램을 통해 누구나 즐길 수 있는 축제로 거듭나고 있다. 주요 행사는 누드 도라지 만들기, 맨손 물고기 잡기 등이 있으며 도라지 사생대회, 도라지 끼 페스티벌 등 다양한 프로그램으로 관광객들을 만족시키고 있다."
삼인대 비각은 어떤 역사적 가치와 유형문화재로 등록되어 있나요?,"삼인대 비각은 현재 전라북도 유형문화재 제27호로 역사유적으로서 가치가 충분하고 선열들의 충절과 효의 정신이 깃들어있는 유적지이다. 삼인문화기념행사는 삼인대에 깃들어 있는 정신을 기리기 위한 축제로, 삼인문화 학술세미나, 재현행사, 제례, 백일장 대회, 국악공연 등의 행사가 진행된다. 삼인대는 지난 1963, 1977, 1987, 1991년에 보수(단청)하고 주변에 철책을 세워 보호 관리하고 있으며, 1994년 지역의 향토인과 후손들에 의해 삼인문화선양회가 구성되어 1995년부터 매년 8월 삼인문화축제를 삼인대에서 개최하고 있다."
삼인문화기념행사의 목적과 주요 활동은 무엇인가요?,"삼인대 비각은 현재 전라북도 유형문화재 제27호로 역사유적으로서 가치가 충분하고 선열들의 충절과 효의 정신이 깃들어있는 유적지이다. 삼인문화기념행사는 삼인대에 깃들어 있는 정신을 기리기 위한 축제로, 삼인문화 학술세미나, 재현행사, 제례, 백일장 대회, 국악공연 등의 행사가 진행된다. 삼인대는 지난 1963, 1977, 1987, 1991년에 보수(단청)하고 주변에 철책을 세워 보호 관리하고 있으며, 1994년 지역의 향토인과 후손들에 의해 삼인문화선양회가 구성되어 1995년부터 매년 8월 삼인문화축제를 삼인대에서 개최하고 있다."
삼인대의 보존과 관리는 어떻게 이루어지고 있나요?,"삼인대 비각은 현재 전라북도 유형문화재 제27호로 역사유적으로서 가치가 충분하고 선열들의 충절과 효의 정신이 깃들어있는 유적지이다. 삼인문화기념행사는 삼인대에 깃들어 있는 정신을 기리기 위한 축제로, 삼인문화 학술세미나, 재현행사, 제례, 백일장 대회, 국악공연 등의 행사가 진행된다. 삼인대는 지난 1963, 1977, 1987, 1991년에 보수(단청)하고 주변에 철책을 세워 보호 관리하고 있으며, 1994년 지역의 향토인과 후손들에 의해 삼인문화선양회가 구성되어 1995년부터 매년 8월 삼인문화축제를 삼인대에서 개최하고 있다."
삼인문화축제는 어떤 종류의 행사와 활동을 포함하고 있나요?,"삼인대 비각은 현재 전라북도 유형문화재 제27호로 역사유적으로서 가치가 충분하고 선열들의 충절과 효의 정신이 깃들어있는 유적지이다. 삼인문화기념행사는 삼인대에 깃들어 있는 정신을 기리기 위한 축제로, 삼인문화 학술세미나, 재현행사, 제례, 백일장 대회, 국악공연 등의 행사가 진행된다. 삼인대는 지난 1963, 1977, 1987, 1991년에 보수(단청)하고 주변에 철책을 세워 보호 관리하고 있으며, 1994년 지역의 향토인과 후손들에 의해 삼인문화선양회가 구성되어 1995년부터 매년 8월 삼인문화축제를 삼인대에서 개최하고 있다."
삼인대와 삼인문화제가 지역 사회와 문화에 어떤 영향을 미치고 있나요?,"삼인대 비각은 현재 전라북도 유형문화재 제27호로 역사유적으로서 가치가 충분하고 선열들의 충절과 효의 정신이 깃들어있는 유적지이다. 삼인문화기념행사는 삼인대에 깃들어 있는 정신을 기리기 위한 축제로, 삼인문화 학술세미나, 재현행사, 제례, 백일장 대회, 국악공연 등의 행사가 진행된다. 삼인대는 지난 1963, 1977, 1987, 1991년에 보수(단청)하고 주변에 철책을 세워 보호 관리하고 있으며, 1994년 지역의 향토인과 후손들에 의해 삼인문화선양회가 구성되어 1995년부터 매년 8월 삼인문화축제를 삼인대에서 개최하고 있다."
추령장승축제가 시작된 배경과 목적은 무엇인가요?,"추령장승축제는 1995년부터 시작되었다. 산업화로 인해 사라져 가는 장승을 보존하고 민속문화를 지켜 나가기 위해 순창에는 장승촌이 만들어지게 되었다. 전국에서 가장 큰 장승촌인 순창군 추령 장승촌은 이러한 배경으로 매년 10월에 추령장승축제를 개최되고 있다. 행사에는 장승 만들기, 장승제, 장승제작 시연 등 한국의 전통문화를 배워볼 수 있는 기회를 제공하며, 모든 참가자들이 함께 즐길 수 있는 행사로 발전하고 있다. 추령 장승촌은 전국적으로 관심을 불러일으키는 명소로 자리잡았으며, 주변 자연경관 또한 우수하여 지역홍보를 통한 관광객 유치에도 힘을 기울이고 있다."
순창군 추령 장승촌은 어떤 역할을 하고 있나요?,"추령장승축제는 1995년부터 시작되었다. 산업화로 인해 사라져 가는 장승을 보존하고 민속문화를 지켜 나가기 위해 순창에는 장승촌이 만들어지게 되었다. 전국에서 가장 큰 장승촌인 순창군 추령 장승촌은 이러한 배경으로 매년 10월에 추령장승축제를 개최되고 있다. 행사에는 장승 만들기, 장승제, 장승제작 시연 등 한국의 전통문화를 배워볼 수 있는 기회를 제공하며, 모든 참가자들이 함께 즐길 수 있는 행사로 발전하고 있다. 추령 장승촌은 전국적으로 관심을 불러일으키는 명소로 자리잡았으며, 주변 자연경관 또한 우수하여 지역홍보를 통한 관광객 유치에도 힘을 기울이고 있다."
추령장승축제에 어떤 종류의 활동과 행사가 포함되어 있나요?,"추령장승축제는 1995년부터 시작되었다. 산업화로 인해 사라져 가는 장승을 보존하고 민속문화를 지켜 나가기 위해 순창에는 장승촌이 만들어지게 되었다. 전국에서 가장 큰 장승촌인 순창군 추령 장승촌은 이러한 배경으로 매년 10월에 추령장승축제를 개최되고 있다. 행사에는 장승 만들기, 장승제, 장승제작 시연 등 한국의 전통문화를 배워볼 수 있는 기회를 제공하며, 모든 참가자들이 함께 즐길 수 있는 행사로 발전하고 있다. 추령 장승촌은 전국적으로 관심을 불러일으키는 명소로 자리잡았으며, 주변 자연경관 또한 우수하여 지역홍보를 통한 관광객 유치에도 힘을 기울이고 있다."
추령 장승촌이 전국적으로 어떤 관심을 받고 있나요?,"추령장승축제는 1995년부터 시작되었다. 산업화로 인해 사라져 가는 장승을 보존하고 민속문화를 지켜 나가기 위해 순창에는 장승촌이 만들어지게 되었다. 전국에서 가장 큰 장승촌인 순창군 추령 장승촌은 이러한 배경으로 매년 10월에 추령장승축제를 개최되고 있다. 행사에는 장승 만들기, 장승제, 장승제작 시연 등 한국의 전통문화를 배워볼 수 있는 기회를 제공하며, 모든 참가자들이 함께 즐길 수 있는 행사로 발전하고 있다. 추령 장승촌은 전국적으로 관심을 불러일으키는 명소로 자리잡았으며, 주변 자연경관 또한 우수하여 지역홍보를 통한 관광객 유치에도 힘을 기울이고 있다."
추령장승축제와 추령 장승촌이 지역 홍보와 관광 산업에 어떤 영향을 미치고 있나요?,"추령장승축제는 1995년부터 시작되었다. 산업화로 인해 사라져 가는 장승을 보존하고 민속문화를 지켜 나가기 위해 순창에는 장승촌이 만들어지게 되었다. 전국에서 가장 큰 장승촌인 순창군 추령 장승촌은 이러한 배경으로 매년 10월에 추령장승축제를 개최되고 있다. 행사에는 장승 만들기, 장승제, 장승제작 시연 등 한국의 전통문화를 배워볼 수 있는 기회를 제공하며, 모든 참가자들이 함께 즐길 수 있는 행사로 발전하고 있다. 추령 장승촌은 전국적으로 관심을 불러일으키는 명소로 자리잡았으며, 주변 자연경관 또한 우수하여 지역홍보를 통한 관광객 유치에도 힘을 기울이고 있다."
블루베리 어울마당은 어떤 축제인가요?,"풍부한 안토시아닌으로 눈 건강에 좋고 항산화작용이 있다고 알려진 블루베리는 상큼하고 탱탱한 과육을 자랑한다. 세계 10대 슈퍼푸드 중 하나인 블루베리는 전북 순창의 깨끗한 환경속에서 우수히 자라나는데 이 훌륭한 과일을 함께 느끼고자 순창에서 축제를 개최한다. 배울마당, 즐길마당, 파는마당, 뽐낼마당의 4가지 마당으로 구성되어 다양한 체험행사가 마련되어있고, 블루베리 비빔밥, 요거트 등 베리먹거리장터도 열리니 가족과 함께 즐길 수 있는 축제이다."
블루베리의 건강에 대한 어떤 이점이 있나요?,"풍부한 안토시아닌으로 눈 건강에 좋고 항산화작용이 있다고 알려진 블루베리는 상큼하고 탱탱한 과육을 자랑한다. 세계 10대 슈퍼푸드 중 하나인 블루베리는 전북 순창의 깨끗한 환경속에서 우수히 자라나는데 이 훌륭한 과일을 함께 느끼고자 순창에서 축제를 개최한다. 배울마당, 즐길마당, 파는마당, 뽐낼마당의 4가지 마당으로 구성되어 다양한 체험행사가 마련되어있고, 블루베리 비빔밥, 요거트 등 베리먹거리장터도 열리니 가족과 함께 즐길 수 있는 축제이다."
순창에서 블루베리 어울마당을 개최하는 주요 목적은 무엇인가요?,"풍부한 안토시아닌으로 눈 건강에 좋고 항산화작용이 있다고 알려진 블루베리는 상큼하고 탱탱한 과육을 자랑한다. 세계 10대 슈퍼푸드 중 하나인 블루베리는 전북 순창의 깨끗한 환경속에서 우수히 자라나는데 이 훌륭한 과일을 함께 느끼고자 순창에서 축제를 개최한다. 배울마당, 즐길마당, 파는마당, 뽐낼마당의 4가지 마당으로 구성되어 다양한 체험행사가 마련되어있고, 블루베리 비빔밥, 요거트 등 베리먹거리장터도 열리니 가족과 함께 즐길 수 있는 축제이다."
"블루베리 어울마당은 어떤 마당으로 구성되어 있으며, 어떤 체험행사와 먹거리장터가 제공되나요?","풍부한 안토시아닌으로 눈 건강에 좋고 항산화작용이 있다고 알려진 블루베리는 상큼하고 탱탱한 과육을 자랑한다. 세계 10대 슈퍼푸드 중 하나인 블루베리는 전북 순창의 깨끗한 환경속에서 우수히 자라나는데 이 훌륭한 과일을 함께 느끼고자 순창에서 축제를 개최한다. 배울마당, 즐길마당, 파는마당, 뽐낼마당의 4가지 마당으로 구성되어 다양한 체험행사가 마련되어있고, 블루베리 비빔밥, 요거트 등 베리먹거리장터도 열리니 가족과 함께 즐길 수 있는 축제이다."
블루베리 어울마당은 어떤 방식으로 가족과 함께 즐길 수 있는 축제인가요?,"풍부한 안토시아닌으로 눈 건강에 좋고 항산화작용이 있다고 알려진 블루베리는 상큼하고 탱탱한 과육을 자랑한다. 세계 10대 슈퍼푸드 중 하나인 블루베리는 전북 순창의 깨끗한 환경속에서 우수히 자라나는데 이 훌륭한 과일을 함께 느끼고자 순창에서 축제를 개최한다. 배울마당, 즐길마당, 파는마당, 뽐낼마당의 4가지 마당으로 구성되어 다양한 체험행사가 마련되어있고, 블루베리 비빔밥, 요거트 등 베리먹거리장터도 열리니 가족과 함께 즐길 수 있는 축제이다."
국사봉 철쭉제는 어떤 축제인가요?,"쌍치면에 위치한 국사봉은 순창의 대표 특산품 중 하나인 복분자의 주산지이다. 봄이면 연분홍색의 철쭉이 장관을 선사하며 특히, 국내에서 보기 힘든 100~200년 이상의 순수토종 야생 산철쭉이 1.7km의 군락을 이룬다. 지역의 사회단체와 주민들이 주체가 되어 운영하며 화합을 다지기 위해 시작하였다가 현재는 그 아름다운 풍경이 외부에도 알려져 많은 사진작가와 등산인 등 관광객들의 발도 끊이지않고 있다. 연분홍색 꽃들의 신호를 지역민들과 함께 나누며 따뜻한 봄을 맞기 좋은 축제이다."
국사봉은 어떤 특산품의 주산지인가요? 그 특산품에 대해 좀 더 자세히 알려주세요.,"쌍치면에 위치한 국사봉은 순창의 대표 특산품 중 하나인 복분자의 주산지이다. 봄이면 연분홍색의 철쭉이 장관을 선사하며 특히, 국내에서 보기 힘든 100~200년 이상의 순수토종 야생 산철쭉이 1.7km의 군락을 이룬다. 지역의 사회단체와 주민들이 주체가 되어 운영하며 화합을 다지기 위해 시작하였다가 현재는 그 아름다운 풍경이 외부에도 알려져 많은 사진작가와 등산인 등 관광객들의 발도 끊이지않고 있다. 연분홍색 꽃들의 신호를 지역민들과 함께 나누며 따뜻한 봄을 맞기 좋은 축제이다."
국사봉의 봄 풍경은 어떤 모습을 보이나요? 특히 어떤 꽃들이 주목받나요?,"쌍치면에 위치한 국사봉은 순창의 대표 특산품 중 하나인 복분자의 주산지이다. 봄이면 연분홍색의 철쭉이 장관을 선사하며 특히, 국내에서 보기 힘든 100~200년 이상의 순수토종 야생 산철쭉이 1.7km의 군락을 이룬다. 지역의 사회단체와 주민들이 주체가 되어 운영하며 화합을 다지기 위해 시작하였다가 현재는 그 아름다운 풍경이 외부에도 알려져 많은 사진작가와 등산인 등 관광객들의 발도 끊이지않고 있다. 연분홍색 꽃들의 신호를 지역민들과 함께 나누며 따뜻한 봄을 맞기 좋은 축제이다."
국사봉 철쭉제의 역사와 주체가 된 단체 및 주민들의 역할에 대해 설명해 주실 수 있을까요?,"쌍치면에 위치한 국사봉은 순창의 대표 특산품 중 하나인 복분자의 주산지이다. 봄이면 연분홍색의 철쭉이 장관을 선사하며 특히, 국내에서 보기 힘든 100~200년 이상의 순수토종 야생 산철쭉이 1.7km의 군락을 이룬다. 지역의 사회단체와 주민들이 주체가 되어 운영하며 화합을 다지기 위해 시작하였다가 현재는 그 아름다운 풍경이 외부에도 알려져 많은 사진작가와 등산인 등 관광객들의 발도 끊이지않고 있다. 연분홍색 꽃들의 신호를 지역민들과 함께 나누며 따뜻한 봄을 맞기 좋은 축제이다."
국사봉 철쭉제를 방문하려면 어떤 시기가 가장 적합한가요?,"쌍치면에 위치한 국사봉은 순창의 대표 특산품 중 하나인 복분자의 주산지이다. 봄이면 연분홍색의 철쭉이 장관을 선사하며 특히, 국내에서 보기 힘든 100~200년 이상의 순수토종 야생 산철쭉이 1.7km의 군락을 이룬다. 지역의 사회단체와 주민들이 주체가 되어 운영하며 화합을 다지기 위해 시작하였다가 현재는 그 아름다운 풍경이 외부에도 알려져 많은 사진작가와 등산인 등 관광객들의 발도 끊이지않고 있다. 연분홍색 꽃들의 신호를 지역민들과 함께 나누며 따뜻한 봄을 맞기 좋은 축제이다."
순창 옥천골 벚꽃축제는 어떤 축제인가요? 언제 개최되나요?,"거울처럼 맑다'하여 경천이라 불리는 순창의 하천은 봄이면 하천변 길의 양쪽이 전부 분홍색으로 물든다. 봄이면 생각나는 꽃들 중 하나인 벚꽃이 길에 흩날리고 맑고 푸른 물위에도 떠있는 예쁜 풍경을 감상할 수 있는 '옥천골 벚꽃축제'는 음악회와 아이들을 위한 페이스페인팅, 펀치볼 포토존 등도 진행되어 활기찬 축제를 느낄 수 있다."
"순창의 하천 경천이 왜 ""거울처럼 맑다""고 불리는 건가요?","거울처럼 맑다'하여 경천이라 불리는 순창의 하천은 봄이면 하천변 길의 양쪽이 전부 분홍색으로 물든다. 봄이면 생각나는 꽃들 중 하나인 벚꽃이 길에 흩날리고 맑고 푸른 물위에도 떠있는 예쁜 풍경을 감상할 수 있는 '옥천골 벚꽃축제'는 음악회와 아이들을 위한 페이스페인팅, 펀치볼 포토존 등도 진행되어 활기찬 축제를 느낄 수 있다."
순창 옥천골 벚꽃축제 중에 어떤 활동과 이벤트가 열리는지 알려주세요.,"거울처럼 맑다'하여 경천이라 불리는 순창의 하천은 봄이면 하천변 길의 양쪽이 전부 분홍색으로 물든다. 봄이면 생각나는 꽃들 중 하나인 벚꽃이 길에 흩날리고 맑고 푸른 물위에도 떠있는 예쁜 풍경을 감상할 수 있는 '옥천골 벚꽃축제'는 음악회와 아이들을 위한 페이스페인팅, 펀치볼 포토존 등도 진행되어 활기찬 축제를 느낄 수 있다."
순창 옥천골 벚꽃축제는 주로 봄 시기에 열리나요? 벚꽃을 감상하기에 가장 좋은 시기는 언제인가요?,"거울처럼 맑다'하여 경천이라 불리는 순창의 하천은 봄이면 하천변 길의 양쪽이 전부 분홍색으로 물든다. 봄이면 생각나는 꽃들 중 하나인 벚꽃이 길에 흩날리고 맑고 푸른 물위에도 떠있는 예쁜 풍경을 감상할 수 있는 '옥천골 벚꽃축제'는 음악회와 아이들을 위한 페이스페인팅, 펀치볼 포토존 등도 진행되어 활기찬 축제를 느낄 수 있다."
